path,filename,width,height,fps,total_frames,duration,label,is_anomaly,aspect_ratio
./Anomaly-Videos-Part-1/Arrest/Arrest001_x264.mp4,Arrest001_x264.mp4,320,240,30.0,2374,79.13333333333334,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest002_x264.mp4,Arrest002_x264.mp4,320,240,30.0,1790,59.666666666666664,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest003_x264.mp4,Arrest003_x264.mp4,320,240,30.0,3054,101.8,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest004_x264.mp4,Arrest004_x264.mp4,320,240,30.0,3603,120.1,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest005_x264.mp4,Arrest005_x264.mp4,320,240,30.0,3685,122.83333333333333,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest006_x264.mp4,Arrest006_x264.mp4,320,240,30.0,3090,103.0,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest007_x264.mp4,Arrest007_x264.mp4,320,240,30.0,3144,104.8,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest008_x264.mp4,Arrest008_x264.mp4,320,240,30.0,6388,212.93333333333334,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest009_x264.mp4,Arrest009_x264.mp4,320,240,30.0,1713,57.1,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest010_x264.mp4,Arrest010_x264.mp4,320,240,30.0,2622,87.4,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest011_x264.mp4,Arrest011_x264.mp4,320,240,30.0,2214,73.8,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest012_x264.mp4,Arrest012_x264.mp4,320,240,30.0,16161,538.7,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest013_x264.mp4,Arrest013_x264.mp4,320,240,30.0,1116,37.2,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest014_x264.mp4,Arrest014_x264.mp4,320,240,30.0,1536,51.2,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest015_x264.mp4,Arrest015_x264.mp4,320,240,30.0,976,32.53333333333333,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest016_x264.mp4,Arrest016_x264.mp4,320,240,30.0,10586,352.8666666666667,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest017_x264.mp4,Arrest017_x264.mp4,320,240,30.0,3432,114.4,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest018_x264.mp4,Arrest018_x264.mp4,320,240,30.0,2434,81.13333333333334,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest019_x264.mp4,Arrest019_x264.mp4,320,240,30.0,1394,46.46666666666667,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest020_x264.mp4,Arrest020_x264.mp4,320,240,30.0,2942,98.06666666666666,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest021_x264.mp4,Arrest021_x264.mp4,320,240,30.0,8734,291.1333333333333,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest022_x264.mp4,Arrest022_x264.mp4,320,240,30.0,1595,53.166666666666664,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest023_x264.mp4,Arrest023_x264.mp4,320,240,30.0,1807,60.233333333333334,Arrest,True,1.3333333333333333
./Anomaly-Videos-Part-1/Arrest/Arrest024_x264.mp4,Arrest024_x264.mp4,320,240,30.0,3629,120.96666666666667,Arrest,True,1.3333333333333333
