video_path,video_name,features_extracted,frame_count,feature_dim,feature_file,label,is_anomaly
./Anomaly-Videos-Part-1/Arrest/Arrest001_x264.mp4,Arrest001_x264,True,159,2048,./processed_data/features/Arrest001_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest002_x264.mp4,Arrest002_x264,True,120,2048,./processed_data/features/Arrest002_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest003_x264.mp4,Arrest003_x264,True,204,2048,./processed_data/features/Arrest003_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest004_x264.mp4,Arrest004_x264,True,241,2048,./processed_data/features/Arrest004_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest005_x264.mp4,Arrest005_x264,True,246,2048,./processed_data/features/Arrest005_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest006_x264.mp4,Arrest006_x264,True,206,2048,./processed_data/features/Arrest006_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest007_x264.mp4,Arrest007_x264,True,210,2048,./processed_data/features/Arrest007_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest008_x264.mp4,Arrest008_x264,True,300,2048,./processed_data/features/Arrest008_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest009_x264.mp4,Arrest009_x264,True,115,2048,./processed_data/features/Arrest009_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest010_x264.mp4,Arrest010_x264,True,175,2048,./processed_data/features/Arrest010_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest011_x264.mp4,Arrest011_x264,True,148,2048,./processed_data/features/Arrest011_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest012_x264.mp4,Arrest012_x264,True,300,2048,./processed_data/features/Arrest012_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest013_x264.mp4,Arrest013_x264,True,75,2048,./processed_data/features/Arrest013_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest014_x264.mp4,Arrest014_x264,True,103,2048,./processed_data/features/Arrest014_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest015_x264.mp4,Arrest015_x264,True,66,2048,./processed_data/features/Arrest015_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest016_x264.mp4,Arrest016_x264,True,300,2048,./processed_data/features/Arrest016_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest017_x264.mp4,Arrest017_x264,True,229,2048,./processed_data/features/Arrest017_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest018_x264.mp4,Arrest018_x264,True,163,2048,./processed_data/features/Arrest018_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest019_x264.mp4,Arrest019_x264,True,93,2048,./processed_data/features/Arrest019_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest020_x264.mp4,Arrest020_x264,True,197,2048,./processed_data/features/Arrest020_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest021_x264.mp4,Arrest021_x264,True,300,2048,./processed_data/features/Arrest021_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest022_x264.mp4,Arrest022_x264,True,107,2048,./processed_data/features/Arrest022_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest023_x264.mp4,Arrest023_x264,True,121,2048,./processed_data/features/Arrest023_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest024_x264.mp4,Arrest024_x264,True,242,2048,./processed_data/features/Arrest024_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest025_x264.mp4,Arrest025_x264,True,71,2048,./processed_data/features/Arrest025_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest026_x264.mp4,Arrest026_x264,True,300,2048,./processed_data/features/Arrest026_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest027_x264.mp4,Arrest027_x264,True,114,2048,./processed_data/features/Arrest027_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest028_x264.mp4,Arrest028_x264,True,167,2048,./processed_data/features/Arrest028_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest029_x264.mp4,Arrest029_x264,True,300,2048,./processed_data/features/Arrest029_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest030_x264.mp4,Arrest030_x264,True,300,2048,./processed_data/features/Arrest030_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest031_x264.mp4,Arrest031_x264,True,124,2048,./processed_data/features/Arrest031_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest032_x264.mp4,Arrest032_x264,True,113,2048,./processed_data/features/Arrest032_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest033_x264.mp4,Arrest033_x264,True,300,2048,./processed_data/features/Arrest033_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest034_x264.mp4,Arrest034_x264,True,300,2048,./processed_data/features/Arrest034_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest035_x264.mp4,Arrest035_x264,True,300,2048,./processed_data/features/Arrest035_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest036_x264.mp4,Arrest036_x264,True,256,2048,./processed_data/features/Arrest036_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest037_x264.mp4,Arrest037_x264,True,143,2048,./processed_data/features/Arrest037_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest038_x264.mp4,Arrest038_x264,True,147,2048,./processed_data/features/Arrest038_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest039_x264.mp4,Arrest039_x264,True,300,2048,./processed_data/features/Arrest039_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest040_x264.mp4,Arrest040_x264,True,119,2048,./processed_data/features/Arrest040_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest041_x264.mp4,Arrest041_x264,True,257,2048,./processed_data/features/Arrest041_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest042_x264.mp4,Arrest042_x264,True,106,2048,./processed_data/features/Arrest042_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest043_x264.mp4,Arrest043_x264,True,300,2048,./processed_data/features/Arrest043_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest044_x264.mp4,Arrest044_x264,True,228,2048,./processed_data/features/Arrest044_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest046_x264.mp4,Arrest046_x264,True,300,2048,./processed_data/features/Arrest046_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest047_x264.mp4,Arrest047_x264,True,300,2048,./processed_data/features/Arrest047_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest048_x264.mp4,Arrest048_x264,True,272,2048,./processed_data/features/Arrest048_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest049_x264.mp4,Arrest049_x264,True,300,2048,./processed_data/features/Arrest049_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest050_x264.mp4,Arrest050_x264,True,300,2048,./processed_data/features/Arrest050_x264_features.npz,Arrest,True
./Anomaly-Videos-Part-1/Arrest/Arrest051_x264.mp4,Arrest051_x264,True,300,2048,./processed_data/features/Arrest051_x264_features.npz,Arrest,True
