video_path,video_name,frames_extracted,total_frames,extraction_ratio
./Anomaly-Videos-Part-1/Arrest/Arrest001_x264.mp4,Arrest001_x264,159,2374,0.06697556866048862
./Anomaly-Videos-Part-1/Arrest/Arrest002_x264.mp4,Arrest002_x264,120,1790,0.0670391061452514
./Anomaly-Videos-Part-1/Arrest/Arrest003_x264.mp4,Arrest003_x264,204,3054,0.06679764243614932
./Anomaly-Videos-Part-1/Arrest/Arrest004_x264.mp4,Arrest004_x264,241,3603,0.06688870385789619
./Anomaly-Videos-Part-1/Arrest/Arrest005_x264.mp4,Arrest005_x264,246,3685,0.06675712347354139
./Anomaly-Videos-Part-1/Arrest/Arrest006_x264.mp4,Arrest006_x264,206,3090,0.06666666666666667
./Anomaly-Videos-Part-1/Arrest/Arrest007_x264.mp4,Arrest007_x264,210,3144,0.06679389312977099
./Anomaly-Videos-Part-1/Arrest/Arrest008_x264.mp4,Arrest008_x264,300,4486,0.06687472135532768
./Anomaly-Videos-Part-1/Arrest/Arrest009_x264.mp4,Arrest009_x264,115,1713,0.06713368359603035
./Anomaly-Videos-Part-1/Arrest/Arrest010_x264.mp4,Arrest010_x264,175,2622,0.06674294431731502
./Anomaly-Videos-Part-1/Arrest/Arrest011_x264.mp4,Arrest011_x264,148,2214,0.06684733514001806
./Anomaly-Videos-Part-1/Arrest/Arrest012_x264.mp4,Arrest012_x264,300,4486,0.06687472135532768
./Anomaly-Videos-Part-1/Arrest/Arrest013_x264.mp4,Arrest013_x264,75,1116,0.06720430107526881
./Anomaly-Videos-Part-1/Arrest/Arrest014_x264.mp4,Arrest014_x264,103,1536,0.06705729166666667
./Anomaly-Videos-Part-1/Arrest/Arrest015_x264.mp4,Arrest015_x264,66,976,0.06762295081967214
./Anomaly-Videos-Part-1/Arrest/Arrest016_x264.mp4,Arrest016_x264,300,4486,0.06687472135532768
./Anomaly-Videos-Part-1/Arrest/Arrest017_x264.mp4,Arrest017_x264,229,3432,0.06672494172494173
./Anomaly-Videos-Part-1/Arrest/Arrest018_x264.mp4,Arrest018_x264,163,2434,0.06696795398520954
./Anomaly-Videos-Part-1/Arrest/Arrest019_x264.mp4,Arrest019_x264,93,1394,0.0667144906743185
./Anomaly-Videos-Part-1/Arrest/Arrest020_x264.mp4,Arrest020_x264,197,2942,0.06696125084976207
